,Categories,Grambank,,,,,,,,,,,Uriel
0,deixis,"['GB020', 'GB021', 'GB022', 'GB023', 'GB035', 'GB036', 'GB037', 'GB038', 'GB313']",,,,,,,,,,,"S_DEFINITE_AFFIX, S_DEFINITE_WORD, S_INDEFINITE_AFFIX, S_INDEFINITE_WORD, S_DEMONSTRATIVE_PREFIX, S_DEMONSRATIVE_SUFFIX"
1,number,"['GB028', 'GB031', 'GB039', 'GB042', 'GB043', 'GB044', 'GB165', 'GB166', 'GB184', 'GB185', 'GB186', 'GB316', 'GB317', 'GB318', 'GB319', 'GB320']",,,,,,,,,,,"S_PLURAL_PREFIX, S_PLURAL_SUFFIX, S_PLURAL_WORD"
2,class,"['GB030', 'GB051', 'GB052', 'GB053', 'GB054', 'GB058', 'GB059', 'GB170', 'GB171', 'GB172', 'GB192', 'GB196', 'GB197', 'GB198', 'GB321']",,,,,,,,,,,"S_SEX_MARK, S_GENDER_MARK, S_POSSESSIVE_SUFFIX, S_POSSESSIVE_PREFIX, "
3,quantification,['GB057'],,,,,,,,,,,
4,non-verbal predication,"['GB068', 'GB069', 'GB117']",,,,,,,,,,,
5,argument marking (core),"['GB070', 'GB071', 'GB089', 'GB090', 'GB091', 'GB092', 'GB093', 'GB094', 'GB095', 'GB096', 'GB098', 'GB099', 'GB109', 'GB149', 'GB177']",,,,,,,,,,,"S_ERGATIVE_VS_ABSOLUTIVE_MARK, S_NOMINATIVE_VS_ACCUSATIVE_MARK,  S_CASE_PREFIX, - S_CASE_PROCLITIC, S_CASE_SUFFIX, S_CASE_ENCLITIC, S_CASE_MARK, S_COMITATIVE_VS_INSTRUMENTAL_MARK"
6,argument marking (non-core),"['GB072', 'GB073', 'GB074', 'GB075', 'GB079', 'GB080', 'GB103', 'GB104', 'GB105', 'GB108', 'GB116']",,,,,,,,,,,
7,VP (other),"['GB081', 'GB107', 'GB111', 'GB158', 'GB298', 'GB299']",,,,,,,,,,,"S_PROSUBJECT_WORD,  S_PROSUBJECT_AFFIX, S_PROSUBJECT_CLITIC,  S_NEGATIVE_SUFFIX, S_NEGATIVE_PREFIX, S_SUBORDINATOR_SUFFIX, S_NEGATIVE_WORD_INITIAL , S_NEGATIVE_WORD_FINAL,  S_ANY_REDUP,  S_NEGATIVE_WORD, S_NEGATIVE_AFFIX,  S_FUTURE_AFFIX"
8,TAME,"['GB082', 'GB083', 'GB084', 'GB086', 'GB110', 'GB119', 'GB120', 'GB121', 'GB139', 'GB309', 'GB312']",,,,,,,,,,,"S_TAM_PREFIX, S_TAM_SUFFIX, S_PAST_VS_PRESENT_MARK, S_PERFECTIVE_VS_IMPERFECTIVE_MARK"
9,valency,"['GB113', 'GB114', 'GB115', 'GB147', 'GB155']",,,,,,,,,,,none I think
10,verb complex,['GB129'],,,,,,,,,,,none
